Designator,Val,Package,Mid X,Mid Y,Rot,Side
"BT1","Battery_Cell","BatteryHolder_Keystone_1060_1x2032",18.161000,72.644000,90.000000,top
"C1","100nF","C_0402_1005Metric",57.785000,82.804000,90.000000,top
"C2","100nF","C_0402_1005Metric",56.515000,82.804000,90.000000,top
"C3","100nF","C_0402_1005Metric",63.754000,79.502000,0.000000,top
"C4","1uF","C_0402_1005Metric",61.595000,82.804000,-90.000000,top
"C5","1uF","C_0402_1005Metric",62.865000,82.804000,-90.000000,top
"C7","100nF","C_0402_1005Metric",60.325000,67.564000,90.000000,top
"C8","100nF","C_0402_1005Metric",66.421000,72.390000,90.000000,top
"C9","100nF","C_0402_1005Metric",58.420000,67.564000,90.000000,top
"C10","100nF","C_0402_1005Metric",49.784000,74.930000,-90.000000,top
"C11","100nF","C_0402_1005Metric",50.165000,76.454000,0.000000,top
"C12","1uF","C_0402_1005Metric",64.897000,87.122000,90.000000,top
"C13","1uF","C_0402_1005Metric",69.977000,87.122000,-90.000000,top
"C14","100nF","C_0402_1005Metric",71.755000,77.470000,180.000000,top
"C15","100nF","C_0402_1005Metric",39.751000,81.026000,180.000000,top
"C16","100uF","CP_Elec_5x5.4",36.703000,63.246000,90.000000,top
"C17","8pF","C_0402_1005Metric",59.563000,59.817000,0.000000,top
"C18","8pF","C_0402_1005Metric",60.833000,64.897000,180.000000,top
"C20","100nF","C_0402_1005Metric",49.911000,86.360000,0.000000,top
"C21","100nF","C_0402_1005Metric",71.755000,23.495000,0.000000,top
"C22","100nF","C_0402_1005Metric",71.755000,29.845000,0.000000,top
"C23","100nF","C_0402_1005Metric",71.755000,36.195000,0.000000,top
"C24","100nF","C_0402_1005Metric",71.755000,19.304000,0.000000,top
"C25","100uF","CP_Elec_5x5.4",35.941000,86.360000,-90.000000,top
"D1","LED_ARGB","0404_RGB_LED",78.486000,46.609000,0.000000,top
"D2","LED","LED_0603_1608Metric",8.255000,29.210000,0.000000,top
"D3","LED","LED_0603_1608Metric",14.605000,29.210000,0.000000,top
"D4","LED","LED_0603_1608Metric",20.955000,29.210000,0.000000,top
